,train,val,test
0,normal_102,tumor_030,test_001
1,tumor_100,tumor_090,test_002
2,normal_037,normal_025,test_003
3,tumor_078,normal_046,test_004
4,tumor_099,normal_122,test_005
5,normal_057,normal_022,test_006
6,tumor_068,tumor_042,test_007
7,tumor_028,tumor_071,test_008
8,tumor_065,normal_148,test_009
9,normal_045,normal_159,test_010
10,tumor_104,normal_096,test_011
11,normal_095,normal_126,test_012
12,normal_016,normal_141,test_013
13,normal_044,normal_130,test_014
14,tumor_020,normal_005,test_015
15,tumor_055,tumor_095,test_016
16,normal_040,tumor_041,test_017
17,normal_080,tumor_101,test_018
18,normal_125,normal_117,test_019
19,normal_138,normal_091,test_020
20,normal_104,normal_014,test_021
21,normal_051,tumor_019,test_022
22,normal_082,tumor_008,test_023
23,tumor_056,normal_145,test_024
24,tumor_031,tumor_093,test_025
25,normal_012,tumor_087,test_026
26,normal_071,normal_043,test_027
27,normal_156,tumor_049,test_028
28,normal_017,tumor_083,test_029
29,normal_092,tumor_059,test_030
30,normal_128,normal_123,test_031
31,tumor_011,normal_039,test_032
32,normal_009,tumor_033,test_033
33,normal_033,tumor_022,test_034
34,normal_029,tumor_024,test_035
35,tumor_089,normal_155,test_036
36,normal_089,normal_127,test_037
37,normal_143,normal_112,test_038
38,normal_136,normal_121,test_039
39,normal_111,tumor_064,test_040
40,normal_041,tumor_013,test_041
41,normal_070,tumor_094,test_042
42,normal_047,tumor_077,test_043
43,normal_160,tumor_034,test_044
44,normal_004,tumor_097,test_045
45,tumor_052,normal_010,test_046
46,normal_062,normal_036,test_047
47,normal_120,normal_042,test_048
48,tumor_085,tumor_080,test_050
49,normal_124,normal_087,test_051
50,normal_088,tumor_053,test_052
51,normal_072,normal_093,test_053
52,tumor_047,normal_048,test_054
53,normal_030,,test_055
54,normal_066,,test_056
55,tumor_010,,test_057
56,tumor_046,,test_058
57,normal_153,,test_059
58,normal_053,,test_060
59,normal_084,,test_061
60,normal_137,,test_062
61,normal_001,,test_063
62,normal_147,,test_064
63,normal_135,,test_065
64,tumor_096,,test_066
65,normal_149,,test_067
66,tumor_084,,test_068
67,normal_132,,test_069
68,tumor_036,,test_070
69,normal_103,,test_071
70,tumor_039,,test_072
71,normal_065,,test_073
72,normal_109,,test_074
73,normal_027,,test_075
74,normal_075,,test_076
75,normal_105,,test_077
76,normal_018,,test_078
77,normal_054,,test_079
78,normal_011,,test_080
79,normal_034,,test_081
80,tumor_086,,test_082
81,normal_098,,test_083
82,tumor_032,,test_084
83,normal_115,,test_085
84,normal_076,,test_086
85,normal_061,,test_087
86,normal_021,,test_088
87,normal_146,,test_089
88,normal_154,,test_090
89,tumor_075,,test_091
90,normal_151,,test_092
91,tumor_070,,test_093
92,tumor_043,,test_094
93,normal_059,,test_095
94,tumor_063,,test_096
95,tumor_023,,test_097
96,normal_019,,test_098
97,normal_119,,test_099
98,normal_133,,test_100
99,normal_068,,test_101
100,tumor_048,,test_102
101,normal_035,,test_103
102,normal_152,,test_104
103,normal_052,,test_106
104,tumor_098,,test_107
105,normal_110,,test_108
106,normal_020,,test_109
107,tumor_081,,test_110
108,tumor_067,,test_111
109,tumor_017,,test_112
110,tumor_016,,test_113
111,tumor_040,,test_114
112,normal_007,,test_115
113,normal_056,,test_116
114,tumor_106,,test_117
115,tumor_091,,test_118
116,normal_085,,test_119
117,tumor_050,,test_120
118,tumor_006,,test_121
119,tumor_009,,test_122
120,normal_078,,test_123
121,normal_013,,test_124
122,tumor_015,,test_125
123,tumor_088,,test_126
124,normal_023,,test_127
125,tumor_069,,test_128
126,normal_003,,test_129
127,tumor_109,,test_130
128,tumor_108,,test_105
129,tumor_014,,
130,normal_060,,
131,normal_150,,
132,tumor_105,,
133,tumor_058,,
134,normal_067,,
135,normal_157,,
136,tumor_051,,
137,tumor_026,,
138,normal_142,,
139,normal_158,,
140,tumor_111,,
141,normal_069,,
142,tumor_103,,
143,tumor_107,,
144,tumor_027,,
145,tumor_003,,
146,tumor_002,,
147,tumor_035,,
148,normal_038,,
149,normal_129,,
150,normal_049,,
151,tumor_038,,
152,tumor_110,,
153,normal_031,,
154,normal_108,,
155,normal_026,,
156,normal_139,,
157,normal_073,,
158,tumor_079,,
159,tumor_021,,
160,normal_094,,
161,normal_118,,
162,normal_106,,
163,normal_064,,
164,normal_058,,
165,tumor_074,,
166,tumor_037,,
167,normal_050,,
168,tumor_073,,
169,normal_063,,
170,normal_028,,
171,normal_134,,
172,normal_099,,
173,normal_101,,
174,normal_113,,
175,normal_131,,
176,tumor_082,,
177,tumor_060,,
178,normal_055,,
179,tumor_076,,
180,normal_002,,
181,tumor_102,,
182,tumor_005,,
183,normal_114,,
184,normal_074,,
185,tumor_012,,
186,normal_083,,
187,normal_090,,
188,tumor_092,,
189,normal_015,,
190,normal_079,,
191,tumor_001,,
192,tumor_066,,
193,tumor_072,,
194,tumor_061,,
195,normal_144,,
196,tumor_062,,
197,tumor_044,,
198,normal_116,,
199,tumor_007,,
200,tumor_025,,
201,normal_097,,
202,tumor_018,,
203,normal_032,,
204,tumor_029,,
205,normal_081,,
206,normal_140,,
207,normal_077,,
208,tumor_045,,
209,tumor_057,,
210,normal_100,,
211,normal_024,,
212,normal_107,,
213,tumor_054,,
214,normal_008,,
215,normal_006,,
216,tumor_004,,
