patch_id,annotation_name,patch_top_left,patch_top_left_x,patch_top_left_y,ill_cells_area,patch_area,not_ill_area
14416,Group_1_Name_19,[ 76928 131712],76928,131712,667,65536,64869
14417,Group_1_Name_19,[ 76928 131968],76928,131968,2983,65536,62553
14459,Group_1_Name_19,[ 77184 131712],77184,131712,31281,65536,34255
14460,Group_1_Name_19,[ 77184 131968],77184,131968,61382,65536,4154
14461,Group_1_Name_19,[ 77184 132224],77184,132224,23071,65536,42465
14462,Group_1_Name_19,[ 77184 132480],77184,132480,1136,65536,64400
14501,Group_1_Name_19,[ 77440 131456],77440,131456,15238,65536,50298
14502,Group_1_Name_19,[ 77440 131712],77440,131712,61919,65536,3617
14503,Group_1_Name_19,[ 77440 131968],77440,131968,65536,65536,0
14504,Group_1_Name_19,[ 77440 132224],77440,132224,65536,65536,0
14505,Group_1_Name_19,[ 77440 132480],77440,132480,40401,65536,25135
14544,Group_1_Name_19,[ 77696 131200],77696,131200,697,65536,64839
14545,Group_1_Name_19,[ 77696 131456],77696,131456,48380,65536,17156
14546,Group_1_Name_19,[ 77696 131712],77696,131712,65536,65536,0
14547,Group_1_Name_19,[ 77696 131968],77696,131968,65536,65536,0
14548,Group_1_Name_19,[ 77696 132224],77696,132224,65536,65536,0
14549,Group_1_Name_19,[ 77696 132480],77696,132480,65306,65536,230
14550,Group_1_Name_19,[ 77696 132736],77696,132736,4549,65536,60987
14588,Group_1_Name_19,[ 77952 131200],77952,131200,40593,65536,24943
14589,Group_1_Name_19,[ 77952 131456],77952,131456,65536,65536,0
14590,Group_1_Name_19,[ 77952 131712],77952,131712,65536,65536,0
14591,Group_1_Name_19,[ 77952 131968],77952,131968,65536,65536,0
14592,Group_1_Name_19,[ 77952 132224],77952,132224,65536,65536,0
14593,Group_1_Name_19,[ 77952 132480],77952,132480,65508,65536,28
14594,Group_1_Name_19,[ 77952 132736],77952,132736,3841,65536,61695
14629,Group_1_Name_19,[ 78208 131200],78208,131200,36641,65536,28895
14630,Group_1_Name_19,[ 78208 131456],78208,131456,65536,65536,0
14631,Group_1_Name_19,[ 78208 131712],78208,131712,65536,65536,0
14632,Group_1_Name_19,[ 78208 131968],78208,131968,65536,65536,0
14633,Group_1_Name_19,[ 78208 132224],78208,132224,65536,65536,0
14634,Group_1_Name_19,[ 78208 132480],78208,132480,65536,65536,0
14635,Group_1_Name_19,[ 78208 132736],78208,132736,13666,65536,51870
14671,Group_1_Name_19,[ 78464 131200],78464,131200,29524,65536,36012
14672,Group_1_Name_19,[ 78464 131456],78464,131456,65536,65536,0
14673,Group_1_Name_19,[ 78464 131712],78464,131712,65536,65536,0
14674,Group_1_Name_19,[ 78464 131968],78464,131968,65536,65536,0
14675,Group_1_Name_19,[ 78464 132224],78464,132224,65536,65536,0
14676,Group_1_Name_19,[ 78464 132480],78464,132480,65536,65536,0
14677,Group_1_Name_19,[ 78464 132736],78464,132736,28392,65536,37144
14710,Group_1_Name_19,[ 78720 130944],78720,130944,1938,65536,63598
14711,Group_1_Name_19,[ 78720 131200],78720,131200,18881,65536,46655
14712,Group_1_Name_19,[ 78720 131456],78720,131456,65536,65536,0
14713,Group_1_Name_19,[ 78720 131712],78720,131712,65536,65536,0
14714,Group_1_Name_19,[ 78720 131968],78720,131968,65536,65536,0
14715,Group_1_Name_19,[ 78720 132224],78720,132224,65536,65536,0
14716,Group_1_Name_19,[ 78720 132480],78720,132480,65536,65536,0
14717,Group_1_Name_19,[ 78720 132736],78720,132736,36078,65536,29458
14748,Group_1_Name_19,[ 78976 130944],78976,130944,5876,65536,59660
14749,Group_1_Name_19,[ 78976 131200],78976,131200,51658,65536,13878
14750,Group_1_Name_19,[ 78976 131456],78976,131456,65536,65536,0
14751,Group_1_Name_19,[ 78976 131712],78976,131712,65536,65536,0
14752,Group_1_Name_19,[ 78976 131968],78976,131968,65536,65536,0
14753,Group_1_Name_19,[ 78976 132224],78976,132224,65536,65536,0
14754,Group_1_Name_19,[ 78976 132480],78976,132480,65536,65536,0
14755,Group_1_Name_19,[ 78976 132736],78976,132736,44020,65536,21516
14788,Group_1_Name_19,[ 79232 130944],79232,130944,11272,65536,54264
14789,Group_1_Name_19,[ 79232 131200],79232,131200,61483,65536,4053
14790,Group_1_Name_19,[ 79232 131456],79232,131456,65536,65536,0
14791,Group_1_Name_19,[ 79232 131712],79232,131712,65536,65536,0
14792,Group_1_Name_19,[ 79232 131968],79232,131968,65536,65536,0
14793,Group_1_Name_19,[ 79232 132224],79232,132224,65536,65536,0
14794,Group_1_Name_19,[ 79232 132480],79232,132480,40944,65536,24592
14795,Group_1_Name_19,[ 79232 132736],79232,132736,10548,65536,54988
14828,Group_1_Name_19,[ 79488 130688],79488,130688,6732,65536,58804
14829,Group_1_Name_19,[ 79488 130944],79488,130944,53851,65536,11685
14830,Group_1_Name_19,[ 79488 131200],79488,131200,64701,65536,835
14831,Group_1_Name_19,[ 79488 131456],79488,131456,65536,65536,0
14832,Group_1_Name_19,[ 79488 131712],79488,131712,65536,65536,0
14833,Group_1_Name_19,[ 79488 131968],79488,131968,65536,65536,0
14834,Group_1_Name_19,[ 79488 132224],79488,132224,62312,65536,3224
14835,Group_1_Name_19,[ 79488 132480],79488,132480,5186,65536,60350
14835,Group_1_Name_20,[ 79488 132480],79488,132480,419,65536,65117
14836,Group_1_Name_20,[ 79488 132736],79488,132736,12546,65536,52990
14869,Group_1_Name_19,[ 79744 130688],79744,130688,7041,65536,58495
14870,Group_1_Name_19,[ 79744 130944],79744,130944,64604,65536,932
14871,Group_1_Name_19,[ 79744 131200],79744,131200,65536,65536,0
14872,Group_1_Name_19,[ 79744 131456],79744,131456,65536,65536,0
14873,Group_1_Name_19,[ 79744 131712],79744,131712,65536,65536,0
14874,Group_1_Name_19,[ 79744 131968],79744,131968,65536,65536,0
14875,Group_1_Name_19,[ 79744 132224],79744,132224,31125,65536,34411
14876,Group_1_Name_20,[ 79744 132480],79744,132480,33264,65536,32272
14877,Group_1_Name_20,[ 79744 132736],79744,132736,42347,65536,23189
14912,Group_1_Name_20,[ 80000 130688],80000,130688,3457,65536,62079
14913,Group_1_Name_19,[ 80000 130944],80000,130944,24823,65536,40713
14913,Group_1_Name_20,[ 80000 130944],80000,130944,376,65536,65160
14914,Group_1_Name_19,[ 80000 131200],80000,131200,47121,65536,18415
14915,Group_1_Name_19,[ 80000 131456],80000,131456,64255,65536,1281
14916,Group_1_Name_19,[ 80000 131712],80000,131712,65536,65536,0
14917,Group_1_Name_19,[ 80000 131968],80000,131968,52872,65536,12664
14918,Group_1_Name_19,[ 80000 132224],80000,132224,790,65536,64746
14918,Group_1_Name_20,[ 80000 132224],80000,132224,13321,65536,52215
14919,Group_1_Name_20,[ 80000 132480],80000,132480,64282,65536,1254
14920,Group_1_Name_20,[ 80000 132736],80000,132736,14797,65536,50739
